net,length_um
u_core.u_regfile.rf\[31\]\[6\],20
_0824_,19.92
u_core.u_regfile.rf\[29\]\[31\],19.8
_1151_,19.78
_1328_,19.78
_0582_,19.72
_2063_,19.62
_1526_,19.6
u_core.u_regfile.rf\[29\]\[24\],19.58
_1363_,19.56
_1759_,19.52
net410,19.48
_1302_,19.46
_0998_,19.44
_1250_,19.42
_1941_,19.34
_1165_,19.28
_1702_,19.28
u_core.u_regfile.rf\[29\]\[23\],19.22
_1394_,19.175
_1590_,19.14
_2113_,19.14
_1305_,19.1
u_core.u_regfile.rf\[5\]\[2\],19.08
_1177_,19.06
u_core.u_regfile.rf\[4\]\[20\],19.06
_1319_,19
_0664_,18.94
_1022_,18.94
_1546_,18.92
_1362_,18.9
_1942_,18.9
_0254_,18.885
_0836_,18.88
_0796_,18.86
_0855_,18.86
u_core.u_regfile.rf\[5\]\[31\],18.86
_1102_,18.78
_1589_,18.76
_1711_,18.695
_1218_,18.68
_0990_,18.66
u_timer.threshold_reg\[27\],18.66
net508,18.62
_0984_,18.58
u_core.u_regfile.rf\[28\]\[9\],18.58
_0242_,18.525
_1491_,18.48
_1530_,18.46
_1047_,18.45
u_core.u_regfile.rf\[5\]\[15\],18.44
_0894_,18.42
_1368_,18.42
_1012_,18.36
net68,18.36
_1116_,18.32
net150,18.32
u_timer.threshold_reg\[26\],18.28
_2077_,18.26
_1088_,18.24
_1285_,18.24
_1781_,18.22
net104,18.22
u_timer.count_reg\[30\],18.215
u_timer.threshold_reg\[20\],18.2
_1294_,18.18
u_core.u_regfile.rf\[4\]\[27\],18.18
_0189_,18.16
u_core.u_regfile.rf\[6\]\[10\],18.155
_1173_,18.12
_0616_,18.1
_0602_,18.08
_0811_,18.08
_1658_,18.08
_0130_,18.065
_1113_,18.06
_1163_,18
u_core.u_regfile.rf\[7\]\[20\],17.98
_0250_,17.92
u_core.u_regfile.rf\[29\]\[5\],17.92
u_core.u_regfile.rf\[1\]\[21\],17.78
_1364_,17.74
u_audio.counter\[3\],17.74
net2,17.74
_2110_,17.7
_1013_,17.68
_1455_,17.68
net49,17.66
_1074_,17.595
_1138_,17.56
_2041_,17.56
_0897_,17.48
_1118_,17.48
_1939_,17.46
_1400_,17.44
_1735_,17.44
u_core.u_regfile.rf\[29\]\[26\],17.44
_1000_,17.4
_1723_,17.4
_0821_,17.38
_1255_,17.32
_1272_,17.32
_1381_,17.3
u_core.u_regfile.rf\[6\]\[4\],17.28
_1647_,17.22
_1434_,17.2
u_core.u_regfile.rf\[4\]\[8\],17.18
_1156_,17.16
u_core.u_regfile.rf\[6\]\[1\],17.16
_2036_,17.14
_1127_,17.1
_1778_,17.08
_1150_,17.06
net128,16.955
u_timer.threshold_reg\[16\],16.93
u_core.u_regfile.rf\[4\]\[10\],16.92
net476,16.92
_1355_,16.9
_1494_,16.9
_1749_,16.88
_0667_,16.83
_1267_,16.76
_1935_,16.76
_0674_,16.74
u_core.u_regfile.rf\[6\]\[29\],16.74
u_core.u_regfile.rf\[7\]\[24\],16.74
u_core.u_regfile.rf\[28\]\[7\],16.735
_0662_,16.72
_0732_,16.72
_1777_,16.72
_0635_,16.7
_1318_,16.695
_0249_,16.685
_0729_,16.62
_1870_,16.62
u_imem.addr\[5\],16.6
_0152_,16.525
_1098_,16.48
_0581_,16.395
_0983_,16.38
u_core.u_regfile.rf\[29\]\[16\],16.34
u_core.u_regfile.rf\[29\]\[6\],16.34
_1375_,16.32
_1385_,16.32
_0261_,16.245
_1634_,16.24
_1349_,16.22
u_core.u_regfile.rf\[1\]\[22\],16.195
_0091_,16.14
_0923_,16.1
_1450_,16.1
_0611_,16.04
_1063_,16.04
u_audio.sample_reg\[0\],16.02
u_core.u_regfile.rf\[1\]\[17\],15.98
_0590_,15.94
_1414_,15.92
u_core.u_regfile.rf\[7\]\[15\],15.92
_1445_,15.9
net55,15.88
net317,15.86
_1917_,15.84
_1953_,15.84
u_core.u_regfile.rf\[1\]\[18\],15.8
_1936_,15.76
_0624_,15.74
_0658_,15.74
_0845_,15.72
_0893_,15.72
_0966_,15.7
_0785_,15.68
_0132_,15.645
_0002_,15.64
_0891_,15.64
_1329_,15.64
_1969_,15.64
_1106_,15.58
_1728_,15.54
_0041_,15.5
_0576_,15.48
u_core.u_regfile.rf\[31\]\[2\],15.475
net319,15.46
net89,15.42
gpio_pins[0],15.4
u_core.u_regfile.rf\[6\]\[14\],15.38
_0326_,15.365
_1246_,15.34
u_core.u_regfile.rf\[4\]\[13\],15.3
_1230_,15.28
_0971_,15.26
_1559_,15.26
_1141_,15.2
_1970_,15.18
_2098_,15.18
u_core.u_regfile.rf\[29\]\[20\],15.18
u_core.u_regfile.rf\[7\]\[31\],15.16
u_core.u_regfile.rf\[1\]\[0\],15.145
net513,15.14
u_core.u_regfile.rf\[1\]\[8\],15.1
_1354_,15.06
net85,15.04
net90,15.04
_1378_,15.02
_0643_,15
u_core.u_regfile.rf\[31\]\[26\],15
_1751_,14.98
u_core.u_regfile.rf\[5\]\[16\],14.98
_1201_,14.94
_1584_,14.94
_1587_,14.94
_0125_,14.92
_1284_,14.92
net426,14.92
_0884_,14.9
net483,14.88
u_core.u_regfile.rf\[29\]\[0\],14.82
net109,14.82
_1004_,14.8
_2049_,14.8
_1740_,14.78
u_core.u_regfile.rf\[29\]\[7\],14.78
_1059_,14.76
_0943_,14.74
_0830_,14.72
_1536_,14.72
u_core.u_regfile.rf\[31\]\[8\],14.72
_1493_,14.7
net545,14.7
_1376_,14.68
u_core.u_regfile.rf\[4\]\[11\],14.66
u_core.u_regfile.rf\[1\]\[28\],14.64
net255,14.64
_1243_,14.6
u_core.u_regfile.rf\[29\]\[8\],14.6
_0248_,14.585
_0957_,14.58
_1698_,14.52
_1128_,14.48
net504,14.46
net120,14.44
_0699_,14.42
_1303_,14.42
_1712_,14.42
net76,14.42
_0942_,14.38
u_core.u_regfile.rf\[4\]\[12\],14.38
u_core.u_regfile.rf\[7\]\[18\],14.38
_1478_,14.34
u_core.u_regfile.rf\[29\]\[2\],14.34
net84,14.3
_0268_,14.285
_1129_,14.265
u_core.u_regfile.rf\[31\]\[27\],14.26
_1065_,14.22
net116,14.22
_0577_,14.2
_0815_,14.18
_0988_,14.18
_1477_,14.18
_1421_,14.16
_1027_,14.155
u_core.u_regfile.rf\[29\]\[10\],14.14
u_core.u_regfile.rf\[29\]\[13\],14.14
net133,14.14
net431,14.14
_1192_,14.08
_1263_,14.02
_1994_,14.02
_0593_,14.01
_0631_,13.99
_0671_,13.98
_1417_,13.96
_1830_,13.96
_0613_,13.9
net466,13.9
net136,13.88
_1415_,13.82
u_core.u_regfile.rf\[1\]\[13\],13.8
u_core.u_regfile.rf\[4\]\[15\],13.8
_1049_,13.72
_1216_,13.72
_1538_,13.72
net360,13.72
net512,13.72
_0086_,13.705
_1208_,13.7
u_core.u_regfile.rf\[1\]\[20\],13.68
_1038_,13.66
_1119_,13.66
_1716_,13.66
net559,13.62
_0266_,13.605
_1649_,13.58
u_core.u_regfile.rf\[28\]\[19\],13.58
_0347_,13.575
u_core.u_regfile.rf\[1\]\[24\],13.565
_0047_,13.545
net543,13.54
_1489_,13.5
_1554_,13.48
_1404_,13.46
_0051_,13.425
_0111_,13.425
_1298_,13.42
_1373_,13.42
_0456_,13.405
u_core.u_regfile.rf\[6\]\[8\],13.38
u_imem.addr\[2\],13.38
_1087_,13.37
_1583_,13.36
_0243_,13.34
_1357_,13.34
u_timer.count_reg\[29\],13.34
_1224_,13.32
_0030_,13.3
u_core.u_regfile.rf\[4\]\[5\],13.3
u_core.u_regfile.rf\[6\]\[20\],13.3
net64,13.28
u_core.u_regfile.rf\[1\]\[6\],13.26
_1139_,13.24
u_core.u_regfile.rf\[28\]\[23\],13.22
_0026_,13.2
u_core.u_regfile.rf\[25\]\[2\],13.2
_1761_,13.18
_0014_,13.16
_1424_,13.16
u_core.u_regfile.rf\[29\]\[12\],13.16
_0127_,13.125
_1762_,13.12
u_core.u_regfile.rf\[6\]\[9\],13.1
net406,13.08
_0594_,13.06
_1467_,13.06
_1552_,13.04
_1676_,13.02
net484,12.98
u_core.u_regfile.rf\[29\]\[11\],12.94
_0518_,12.9
net527,12.9
net251,12.88
_0262_,12.865
_1848_,12.86
_1346_,12.84
net441,12.84
_1100_,12.82
_0851_,12.8
net88,12.8
net100,12.8
net354,12.8
_0614_,12.74
_2020_,12.74
_1066_,12.71
_1076_,12.7
u_core.u_regfile.rf\[6\]\[12\],12.7
_1330_,12.68
_1271_,12.66
_1779_,12.64
_2054_,12.64
_2057_,12.64
_1123_,12.62
_1967_,12.62
u_core.u_regfile.rf\[29\]\[21\],12.62
_0994_,12.58
_0883_,12.56
_1896_,12.54
_2070_,12.54
_1962_,12.52
net105,12.52
_1205_,12.5
_0106_,12.485
_0351_,12.485
